rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
1,0.9709324356893942,0.0005631620382409,0.9999923573156572,1.177945707247209e-06,200,30.0,2,2,sqrt
2,0.970912515431332,0.0006215986383957,0.9999921980912604,1.089027251686992e-06,200,,2,2,sqrt
3,0.970804449036396,0.0005727030551564,0.9999827487731552,1.9143391580857888e-06,200,30.0,5,2,log2
4,0.9707538474255286,0.0004668636768015,0.9999823581601543,1.5156200345517365e-06,200,,5,2,log2
5,0.9707018846285788,0.0005810261458752,0.9999838824654756,1.957427489344568e-06,200,30.0,5,2,sqrt
6,0.9706993606710402,0.0006833489716215,0.9999842200077734,1.8999478410307416e-06,200,,5,2,sqrt
7,0.970685560127689,0.0007431409461793,0.9999978239589146,3.7905227229497873e-07,200,,5,1,sqrt
8,0.97067789554021,0.000807680542578,0.9999977814996176,4.227666756170966e-07,200,30.0,5,1,sqrt
9,0.9704850329482442,0.0006779077605052,0.9999918287086867,1.2029255753537407e-06,200,,2,2,log2
10,0.9704712364461467,0.0005573484632918,0.9999974970193692,6.608313636200952e-07,200,30.0,5,1,log2
