feature,information_gain,information_gain_rank,random_forest_importance,random_forest_importance_rank
magnitude_cv,1.8549140719330452,1,0.021065137356292816,12
radius_std,1.6509844360909556,2,0.01908789594281947,17
std_magnitude,1.6509669979373962,3,0.02111825729228499,11
power_cv,1.641041446100031,4,0.021974617852582125,9
std_power,1.6236808829504081,5,0.025369315791355148,4
iqr_magnitude,1.5913226281656438,6,0.028011171451777884,3
max_power,1.5882470206087254,7,0.019855735026031253,14
max_magnitude,1.5882207845211154,8,0.021028271596948152,13
radius_unique_rounded_count,1.5472788703564064,9,0.023865810574294204,6
q75_magnitude,1.5458031326343349,10,0.022418336839608394,7
q25_magnitude,1.521101329094129,11,0.019435228973918327,15
std_inst_freq,1.4543022660460831,12,0.03126130200120293,2
range_magnitude,1.3830737256898091,13,0.01641867669793704,18
radius_mean,1.3183668538157125,14,0.008202846352116046,49
mean_magnitude,1.3183578408434307,15,0.00839730682327427,48
kurtosis_magnitude,1.3122420645670165,16,0.02219649243814345,8
range_inst_freq,1.2829670058847205,17,0.014174050761366703,23
iqr_inst_freq,1.2738022182638282,18,0.02467662806747463,5
quadrant_balance_std,1.2322462487921246,19,0.008489992917120734,47
kurtosis_inst_freq,1.222171928795679,20,0.008075610811254404,50
peak_to_average_power_ratio,1.1868871051318886,21,0.01345361937008139,25
std_phase,1.168877713620764,22,0.007458611358171881,53
max_fft_magnitude,1.164912488864577,23,0.01569374843241203,20
max_fft_power,1.1648997115914281,24,0.012982427793248565,26
std_fft_power,1.1605387323946297,25,0.014317699817601694,22
median_magnitude,1.1511811833097978,26,0.010319417527489312,34
median_power,1.1509651712198288,27,0.010673940190880131,32
min_inst_freq,1.1399068731872908,28,0.009803135328448375,39
max_inst_freq,1.1378210718794532,29,0.007832363900023297,52
circular_resultant_length,1.1363144279279878,30,0.014069914839219757,24
peak_fft_power_ratio,1.1316307242934553,31,0.010232232907493857,35
spectral_entropy,1.1240698401251223,32,0.011223386978462702,30
std_fft_magnitude,1.1180789233706454,33,0.012409150325015376,28
occupied_bandwidth_90,1.1172358753563096,34,0.008063026042916038,51
phase_unique_rounded_count,1.112407355256729,35,0.0325238057312493,1
kurtosis_fft_magnitude,1.1052421578669516,36,0.012517793213869114,27
skew_magnitude,1.1044639066225996,37,0.019097133771243495,16
min_magnitude,1.092204088051362,38,0.009792809776728174,40
spectral_spread,1.092154453639448,39,0.010123841103525624,36
min_power,1.0917610071789174,40,0.009534879649727936,42
skew_fft_magnitude,1.0894241007908696,41,0.009866144686845057,38
rms_power,1.0283757830862417,42,0.008762007002243367,46
total_fft_power,1.0283711610409156,43,0.011143881894417113,31
mean_fft_power,1.0282841125373818,44,0.00934100968499216,43
total_energy,1.0281830207363116,45,0.00962914953704445,41
mean_power,1.0281630847421463,46,0.00987246259613723,37
min_Q,1.0193242208980737,47,0.004213777587335396,68
max_Q,1.0167871284478402,48,0.003966380780001183,72
min_I,1.0097243133994653,49,0.0044589984868662925,67
max_I,1.0007985251323106,50,0.004161111287610578,69
spectral_rolloff_95_freq,0.9930888935155004,51,0.006438509309415554,55
q25_inst_freq,0.980929172870848,52,0.014782659034858753,21
q75_inst_freq,0.9397074430273098,53,0.012288872354142959,29
far_origin_ratio,0.935709191101334,54,0.015982926991010296,19
mean_abs_I,0.9218913153327644,55,0.0032199009121261666,96
mean_abs_Q,0.9165552129478067,56,0.003266429715185498,95
q25_Q,0.9051888385097859,57,0.003589413710320975,83
q75_I,0.9036267640227931,58,0.0034623388558139064,89
q25_I,0.8941253000217029,59,0.003494884726484312,87
q75_Q,0.8939262668167025,60,0.0036614851751243477,81
spectral_rolloff_85_freq,0.893017870700302,61,0.0037214416004672296,78
unwrapped_phase_range,0.8859524945857968,62,0.00897957553853028,45
quadrant_4_ratio,0.8714116876320355,63,0.0031941471673563506,99
quadrant_1_ratio,0.8689998504202365,64,0.0033036285408255136,93
quadrant_3_ratio,0.86615861400653,65,0.0031078206288538495,101
quadrant_2_ratio,0.8618166928115496,66,0.003064601849189435,102
median_I,0.8611424119983289,67,0.003285961565960758,94
mean_Q,0.8598473611520623,68,0.0034216697451214355,90
